Phase Field,Target
Ga Sn Ta,0
Ga Tb,1
Ga Tb Ti,0
Ga Ti,1
Ga Ti Tm,0
Ga Ti Zr,0
Ga Tm Zn,0
Ga W,0
Ga Y Zn,0
Ga Yb,0
Ga Zr,1
Gd Ge Ir,0
Gd Ge Mn Sm,0
Gd Ge Ni,0
Gd Ge Os,0
Gd Ge Re,0
Gd Hg,1
Gd Ho Ni,0
Gd In Pd Th,0
Gd In Zn,0
Bi Li Zn,0
Bi Cd Li,0
Al Ru V,0
Ga Ru V,0
Al Co Mn Rh,0
Co Ga Mn Rh,0
Co Ge Mn Rh,0
Ir Nb,1
Al Ti Zr,1
Ge Mn V Zr,0
Ag Al Co,0
Ag Al Fe,0
Ge Lu Sn,0
Lu Sn,1
Al Ce La Ni,1
Co Nb Zr,1
Co Nd Ni,1
Co Nd Ru,1
Co Nd Tm,1
Co Nd U,1
Co Nd Y,1
Co Ni Pr Sm,1
Co Ni Pr Y,1
Co Ni Sm Y,1
Co Pd,1
Co Pd V,1
Co Pr Ti,1
Co Pr Tm,1
Co Pr Y,1
Co Pt Ta,1
Co Re,0
Co Re Y,1
Co Rh,0
Co Ru,0
Co Ru Y,1
Co Sc Ti Y,1
Co Ta Zr,1
Co Tc,0
Co Th Y,1
Co U Y,1
Cr Cu La Ni,1
Cr Fe Mn Mo Ni,0
Cr Fe Mo Ni,0
Cr Fe Ni U,1
Cr Ga V,0
Cr La Ni,1
Cr Mo Nb,1
Cr Mo V,0
Cr Mo W,0
Pd Tl,1
Pt Tl,1
Au Tl,0
Pb Rh,1
Pb Pd,1
Cr Nb Ti,1
Cr Nb Zr,1
Cr Ni Ti,0
Cr Pd,0
Cr Sn,0
Cr Ta Zr,1
Cr W Zr,1
Cs Ga,0
Cs In,0
Cu Dy Fe,1
Cu Dy Tl,0
Cu Er Fe,1
Cu Eu In,0
Cu Eu In Yb,1
Ga Rb,0
Cu Fe Gd,1
Cu Fe La Ni,1
Mg Y Zn,0
Ge Yb Zn,0
Ga Sb Yb,0
Ga Ge La,0
Ca Mg Sn,0
Ca Sn Zn,0
Al Ga La,0
Au Ca Cd,0
Rh Sn,0
Ba Ge Pt,0
Eu Ga Rh,0
Eu Ga Ir,1
Al La Ni Ru,0
Al La Ni Ru Sn,0
In La Ru,0
Ge In Li Yb,0
Ba Cd K Sb,0
Cd Eu K Sb,0
Cd K Sb Yb,0
Cd K Sb Sr,0
Eu Rh Sb,0
Ce Mg Ru,0
Mg Pr Ru,0
Au Cd Sr,0
Cu Nb Sn,0
Gd Re,1
Gd Re Th,1
Gd Rh,1
Gd Rh Sn,0
Gd Ru Sm,1
Gd Ru Sn,0
Gd Sb,0
Gd Sb Sm,0
Gd Sb Yb,0
Gd Sn,1
Gd Tc,1
Gd Th,0
Gd Tl,1
Gd Tl Zn,0
Gd Zr,0
Al Mn Mo,0
Al Mn Nb,1
Al Mn Tc,0
Al Mn Zr,1
Al Eu Fe,0
Co Ga Tm,0
Ag Au Gd Mg,0
In Lu Ru,0
Er In Ru,0
La Sb Ti,0
Mn Na Sb,0
Cu Fe Ho,1
Cu Fe Lu,1
Cu Fe Ni Pt,0
Cu Fe Tb,1
Cu Fe Ti,0
Cu Fe Tm,1
Cu Ga Li,1
Cu Ga Ni,1
Cu Ga Pt,0
Cu Ga Sr,0
Cu Hf Hg,0
Cu Hg Ti,0
Cu Ho Tl,0
Cu In Lu Yb,1
Cu In Mn Pd,0
Cu In Mn Sn,0
Cu In Ni,0
Cu In Sc,1
Cu In Sn Yb,1
Cu In Y Yb,1
Cu In Zr,0
Cu Ir,0
Cu Li Zn,1
Cu Ni V,0
Cu Rh Sn,0
Cu Sn Sr,0
Cu Tb Tl,0
Cu Tb Zn,0
Cu Ti Zn,0
Cu Tl,0
Dy Er,0
Dy Er Fe,1
Co Er Ti,0
Al Co Er Ti,0
Co Fe Mo Nd Y,0
Ce Fe Ni Sb,0
Ho Sn,1
Ag Ga La,0
Er Pd Sb,0
Au Eu Ge,0
Mn Sb Sn,0
Al Eu,1
Dy Y,0
Cu Mg Yb,1
Ca Eu In,0
Cd K Na,0
Dy Sb Sc,0
In Sb Zn,0
Ce Ga Ru,0
Lu Mn Sn,1
Ag La Mg,0
Ga Ni Sr,0
Mn Sb Sc Yb,0
Ho Pd Zn,0
Lu Pd Zn,0
Pd Tm Zn,0
Pd Y Zn,0
Pd Yb Zn,0
Bi Co Gd,0
In Ru Tb,0
Ho In Ru,0
In Ru Sm,0
Rb Sn Tl,0
Ge Hf Ir,0
Ge Hf Mn,1
Ge Hf Ni,0
Ge Hf Os,0
Ge Hf Re,0
Ge Hf Rh,0
Ge Hf Ru,0
Ge Hf Sc,0
Ge Hf V,1
Ge Ho Pt,0
Ge Ho Re,0
Ge In Ir,0
Ge Ir La,1
Ge Ir Pr,0
Ge Ir Sm,0
Ge Ir Th,0
Ge Ir Ti,0
Ge Ir Tm,0
Ge Ir Zr,0
Cr Sc Sn V,0
In Ni Tm,1
Al La Pd,1
Cu Ga In Yb,1
Dy Fe Tb,1
Dy Fe Y,1
Dy Gd,0
Dy Gd Y,0
Dy Ho Mn,1
Dy Ho Tb,0
Dy Ho Y,0
Dy In Sn,1
Er Fe Ho,1
Er Fe Ni,1
Er Fe Sm,1
Er Ho,0
Er In Sn,1
Er Pd Sn Y,0
Er Pd Tl,0
Er Tb,0
Er Y,0
Dy Ni Pd,0
Dy Pd Sn Y,0
Dy Pd Tl,0
Eu Mg Sr,0
Eu Ni Zn,1
Eu Yb,0
Al Co Ho Y,1
La Mn Y,1
La Rh Sn Y,0
In Ni Zn,0
Al Ga U,1
Al Ho Mo,0
Cu La Sb,0
Cu Sb Sm,0
Cu Gd Sb,0
Cu Sb Y,0
Co La Mg Ni,1
Co Hf Nd,0
Cu La Zn,1
Co Nd V,0
Ba Ge In,0
Ce Ge Pt,0
Cr Ge Tb,1
Cr Ge Ho,1
Cr Er Ge,1
In Mn Sb,0
Cr Mn Ni Sn,0
Co Pt Sn,0
Cr Pt Sn,0
Ge In Li Sr,0
Eu Ge Li Mg,0
Ce Ge In Ni,0
Ge In Ni Pr,0
Cd Na Sb Yb,0
Ca Cd Sb Sr,0
Cd Sb Sr Yb,0
Cd Eu Sb Yb,0
Ge La Os,0
Ge La Sc,0
Ge Li Nd,1
Ge Lu Mn,1
Ge Lu Pd,0
Ge Lu Re,0
Ge Lu Ru,0
Ge Mn Nb,0
Ge Mn Pr,0
Ge Mn Sm,1
Ge Mn Sm Y,0
Al Cr Ti V,0
Al Cr V Zr,0
Al Cr Hf V,0
Cr Ga Ti V,0
Cr Ga V Zr,0
Cr Ga Hf V,0
Cr In Ti V,0
Cr In V Zr,0
Cr Hf In V,0
Cr Ge Sc V,0
Cr Ge V Y,0
Cr Sn V Y,0
Cr V Zn,0
Cr Nb V Zn,0
Cr Ta V Zn,0
Pd Y,1
Pd Sr,1
Fe Gd Ho,1
Fe Gd Ni,1
Fe Gd Ni Tm,1
Fe Gd Th,1
Fe Ho Ni,1
Fe Ho Ru,1
Fe Mn Pd,1
Fe Nb Pt,0
Fe Nd Ru,1
Fe Nd Sm,1
Fe Ni Pt,1
Fe Ni Rh,0
Fe Ni Tb,1
Fe Ni V,0
Fe Pr Sm,1
Fe Pr Tb,1
Fe Pr Y,1
Fe Rh Y,1
Fe Ru Sn,0
Fe Ru Y,1
Fe Sc Y,1
Fe Ti U,1
Fe Y Zr,1
Ga Gd U,0
Ga Ge,0
Ga K Li,0
Ga Hf Sc,0
Ga K Na,0
Ga Li Mg,0
Ga Li Na,0
Ga Mg Na,0
Al Ba Co,0
Bi Ni Tb,0
Co Er In,0
Ge La Ti,0
Cu Ge Hf Sb,0
Ge Mn Ta,0
Ge Mn Th,0
Ge Mn Tm,1
Ge Mo Ni,1
Ge Mo W,0
Ge Mo Zr,1
Ge Nb Ni,1
Ge Nb Rh,0
Ge Nb Sc,0
Ge Nb Ti,0
Ge Ni Np,0
Ga Ge Li,0
Al Na Sn,0
Ge In Na,0
In K Sn,0
Al Cu Ge,0
Al Cu Sn,0
Cu Ga Ge,0
Cu Ga Sn,0
Cu In Sn,0
Cu Ge In,0
Cd Cu In,0
Ga Mn Pt,0
Ga Mo Ni,1
Ga Na,0
Ga Na Rb,0
Ga Nb Pt,0
Ga Ni Zn,1
Ga Pt V,0
Ga Sn,0
Ga Ti Y,0
Ga U Y,0
Ga Zn,0
Ga Zn Zr,1
Gd Ho Y,0
Gd In Tl,1
Gd Mn Ni Sm,1
Gd Mn Y,1
Gd Nd Zn,0
In Li Pd,0
In Li Pt,0
In Li Rh,0
Ce Fe Ge,0
Al Ce Ga Ni,1
Co Gd Ge,1
In Ni Np,0
In Rh U,0
In Sn U,1
Co Fe La Sb,0
Al Co Ga,0
Hf Pd,1
Co Dy Ho,1
Al Co Dy Ho Tb,1
Ba Ga Hg,0
Ba Cd Hg,0
Ir Y,1
Cd Pd Sr,0
Ge Ni V,0
Ge Ni Y,0
Ge Ni Zr,0
Ge Os Pr,0
Ge Os Sc,0
Ge Os Sm,0
Ge Os Tb,0
Ge Os Th,0
Ge Os Ti,0
Ge Os Tm,0
Ge Os U,0
Ge Os Zr,0
Ge Pd Pr,0
Ge Pd Sm,0
Ge Pd Tm,0
Ge Pd Y,0
Ge Pd Zr,0
Ge Pr Rh,1
Ge Pr Ru,0
Ge Pr Sc,0
Ge Pt Rb,0
Ge Pt Zr,0
Ge Pu,1
Ge Re Sc,0
Ge Rh Ti,0
Co Fe Ir Ni Pt,0
Cd Cu Sr,0
Ce Cu Mg,1
Ce Gd Th,0
Co Fe Th Y,1
Co Ga Ta,1
Co Gd Ir,1
Cu Gd Tl,0
Cu In La Yb,1
Er Ga V,0
Ga Hf Mn,0
Ga Pd Zn,0
Ga Ti Zn,1
Gd Pd Sn Y,0
Gd Pd Tl,0
Gd Pr Zn,0
Gd Tb,0
Gd Tl Y,0
Gd Y,0
Gd Y Zn,0
Gd Yb,0
Ge Pb,0
Tl Yb,1
Hf In Pd,0
Hf In Pt,0
Hf Mn,1
Hf Mo,1
Hf Mo Ti,1
Hf Mo Zr,1
Hf Nb,0
Hf Nb Sn,0
Hf Nb V,1
Hf Nb V Zr,1
Nd Zn,1
Ho Zn,1
Tm Zn,1
Lu Zn,1
Hf Pt,1
In Np Pt,0
In Np Rh,0
Cr Cu Zr,1
Co Cr Mn Ni Sc,1
Co Cr Mn Ni Sc Zr,1
Ga Yb Zn,0
Au Pd U,1
Fe Gd Mo Nb Ni,0
Ag Al Ho,0
Pd Rh,0
Co Pd Rh,0
Mn Sm Sn,1
Fe Mn Ni Ti V Zr,1
Bi Np,0
Bi Pu,0
Co In Sm,0
Au Ni,0
Ge La Mn Y,0
Cu Pb Y,1
Mn Ni Zr,1
Mn Ni Sc Zr,1
Mn Ni Sc,1
Ni Sc V Zr,1
Gd Sb Zn,0
Cr Cu Ni Zr,1
Mg Pr Y,1
Co Pb Y,0
Co Gd Pb,0
Co Pb Tb,0
Co Dy Pb,0
Co Ho Pb,0
Co Er Pb,0
Co Pb Tm,0
Co Lu Pb,0
Sb Y Zr,0
Gd Sb Zr,0
Sb Tm Zr,0
Lu Sb Zr,0
Ag Al Tb,1
Ga Li Pt,0
Ag Pb Pr,0
Ag Pb Sm,0
Ag Ga Gd,0
Ag Ga Tb,0
Hf Sb U,0
Nb Sb U,0
Ba Cu,0
Ce Ir Zn,0
In Rh Sc,0
Cd Cs,0
K Zn,0
Na Zn,0
Cd Rb,0
Cs Zn,0
Ge Rh Zr,0
Ge Ru Sc,0
Ge Ru Sm,1
Ge Ru Th,0
Ge Ru Ti,0
Ge Ru Tm,0
Ge Ru U,0
Ge Ru Yb,0
Ge Sc Sm,0
Al Sb Ti,0
In Sb Ti,0
Cr Mo Ni Re,0
Cr Ni Re,0
Cr Mo Re,0
Mo Ni Re,0
Ga Mn Ni Zn,0
Mn Ni Zn,0
Ho Tl,1
Ho Zr,0
Ag Fe,0
Ag Ga Yb,0
Ag Mg Y,0
Ir Li,0
Ir Lu,1
Ir Mn,0
Ir Mn Sn,0
Ir Mo,1
Ir Mo Ru,0
Ir Nb V,0
Ir Ni,0
Ir Ni Ta,0
Ir Np,1
Ir Os,0
Ir Os Th,1
Ir Pa,1
Ir Pb,0
Ir Pd,0
Ir Pr,1
Ir Pt,0
Ir Re,0
Ir Re Ti,0
Ir Rh,0
Ir Ru,0
Ir Ru Th,1
Ir Sn Ti,0
Ir Ta,1
Ir Tb,1
Ir Tc,0
Ir Ti,1
Ir Tm,1
Ir Yb,1
Al Cr U,0
Al Bi Gd,1
Al Ca Li,1
Al Ce U,1
Al Co Cu Y,1
La Nd Ni,1
La Ni Pr,1
La Ni Ti,1
La Ni Zn,1
La Os,1
La Pb Sn,1
La Pb Th,1
La Pb Tl,1
La Pd,1
La Pd Tl,0
La Pu,0
La Ru Sn,0
La Ru Th,1
La Sn Th,1
La Sn Tl,1
Hf Sn,0
Cu Hf Pb,0
Pt Pu Sn,0
In Pd Pu,0
Co In U,0
Ru Sn U,0
Al Cu Zr,1
Cr In,0
Ce Mg Ni,1
Au Na Tl,0
Au Cs Rb,0
Au Cs Sn,0
Au Pb Rb,0
Au Cs Pb,0
Au K Pb,0
Al Er Pt,0
Ir Np Sn,0
Ca Ga Ir,0
Ca Ga Rh,0
Na Sn Tl,0
Au Ga K,0
Cd Sb Zn,0
Ho Mg Zn,0
Co Dy Ge,1
Gd Mn Sn Tm,1
Al La Mg,1
Er Fe Nd,0
Fe Sb Tb,0
Sm Tl,1
Ge Nb Pr Rh,0
Ge Nb Nd Rh,0
Ce Ge Rh Ta,0
Ge Pr Rh Ta,0
Ge Nd Rh Ta,0
Co La Ta,0
Ce Sb Sc,0
Nd Sb Sc,0
Gd Sb Sc,0
Fe Gd Re,0
Os Zr,1
K Na Tl Zn,0
K Na Sm Tl,0
Ba Ge Li,0
Co Fe Sb Yb,0
Ge Li Sm,1
Er Ru Sb,0
Ga Gd In Ni,0
Hf Hg,0
Co Fe Ni V,1
Ga Sb V,0
Hf Pt Sn,0
Hf Pu,0
Hf Ru,1
Hf Ru Ti,0
Hf Sc,1
Hf Ta,0
Hf Ta V,1
Hf Tc,1
Hf Th,0
Hf Ti,0
Hf Ti V,1
Hf Ti W,1
Hf V,1
Hf V Zr,1
Hf W,1
Hf Zn,1
Hf Zn Zr,1
Hf Zr,0
Hg Ho,1
Hg Li,1
Hg Li Mg,0
Hg Li Tl,0
Hg Mg,0
Hg Na Tl,0
Hg Nd,0
Hg Pd,0
Hg Pr,0
Hg Tb,1
Hg Th,1
Hg Ti,1
Hg Ti Zn,1
Hg Tl,1
Hg Tm,1
Hg U,1
Hg Y,1
Hg Zn,0
Hg Zr,1
Ag Al Ti,1
Ag Al Yb,1
Ag Au Cu,0
Ag Au Cu Pd,0
Ag Au Pd,0
Ag Bi,0
Ag Cu Y,0
Ag Bi Tl,0
Ag Cd,0
Ag Cd In,0
Ag Cd Mg,0
Ag Cd Zn,0
Ag Cu Nd,1
Ho Ir,1
Ho Mg,1
Ho Mn Tm,1
Ho Ni Ru,1
Ho Pb,1
Ho Pd,1
Ho Pd Sn,0
Ho Pd Sn Y,0
Ho Pd Tl,0
Ho Pt,1
Ho Pt Sn,0
Ho Rh,1
Ho Tb,0
Ho Th,0
In Ir Li,0
In Pt Sm,1
Ag Ce Pb,0
Ag Pb Tb,0
Ag Dy Pb,0
Ag Ho Pb,0
Bi Ni Zr,0
Nb Rh Sb,0
Ru Sb Ta,0
Ru Sb Zr,0
Ru Sb Ti,0
Co Sb Ta,0
Co Nb Sb,0
Co Ge Tm,1
Ag Pb Y,0
Ag Pb Tm,1
Al U V,0
Bi Tb,0
Cu Sn Th,0
Ag Lu Pb,1
Cu Pb Tb,0
Cu Pb Tm,0
Cu Lu Pb,0
Fe Gd Mo Nd,0
Ni Pr,1
Fe Nd Tb,1
Al Fe Nd Tb,0
Ce Cu Zn,1
Fe Ga Nd Ti,0
Co Sb Tl,0
Co Sb Sn Tl,0
Co Fe Sb Tl,0
Pb V,0
Nb Pb,0
Ce Ge Nb Rh,0
Fe Ir Os Ru,0
Ce Ga Zn,0
Dy Fe In,0
Cr Ge La,0
Os U Zn,0
Na Ni Sn,0
Mn Sb Y Yb,0
Au Eu Zn,0
Ge Ta V,1
Fe Mn Sb,0
Bi Pt Sb,0
Fe Ga Re,0
Ge Tm V,0
Ge Lu V,0
Ga Ge Y,0
Ce Co Y,1
Ce Ga Pt,1
La Th,0
Mo Ni Zr,1
Mo Os,0
Mo Os Ru,0
Mo Pd,0
Mo Pd Rh,0
Mo Pd Rh Ru,0
Mo Pd Ru,0
Mo Pt,1
Mo Pu U,0
Mo Re,0
Mo Re V,0
Mo Rh,1
Mo Rh Ru,0
Mo Ru,0
Mo Tc,0
Mo Ti,0
Mo Ti Zr,1
Mo V Zr,1
Mo W Zr,1
Mo Zr,1
Al Eu V,0
Al Fe Ho,1
Al Fe Tm,1
Al Gd U,1
Al Gd Zr,1
Al Ge,0
Al Ir Li,0
Na Pt,1
Nb Ni Sn,0
Nb Ni Ti,1
Nb Pd,0
Nb Pd Pt,0
Nb Pd Rh,1
Nb Re,0
Nb Rh Ru,0
Nb Rh Sn,0
Nb Ru,1
Nb Sn Ta,0
Nb Sn Ti,0
Nb Sn V,0
Nb Sn Zr,0
Nb Tc,0
Nb Th,0
Nb Ti,1
Nb Tl,0
Nb U,0
Nb Zn Zr,1
Nb Zr,0
Nd Ni Ru,1
Nd Pd,1
Nd Pd Tl,0
Nd Pr,0
Nd Pt,1
Nd Pu,0
Nd Rh Sn,0
Nd Ru,1
Nd Sm,0
Nd Tl,1
Nd Tm,0
Nd Y,0
Ni Sb Tm,0
Ni Np,1
Ni Pd V,0
Ni Pr Y,1
Ni Pt Sn,0
Ni Rh,0
Ni Rh Sn,0
Ni Ru,0
Ni Ru Y,1
Ni Sc,1
Ni Sn Sr,0
Ni Sn V,0
Ni Sn Y,1
Ni Tl,0
Ni Yb,1
Np Tl,1
Sc Zr,0
Sn Tl,0
Fe Ni Zn,0
Hg Pd Sm,0
Co Cr Y,1
Os Pr Sb,0
Fe Pr V,0
Dy Fe Mo Nd,0
Co Fe Nd Ti Y,0
Ag Al Hf,1
Ga Sm Sn,1
Ge Na Rb,0
Ca Ga Na Sb,0
Al Ca Na Sb,0
Ca In Na Sb,0
Al Co Gd Ge,0
Al Fe Gd Ge,0
Co Ge La,0
La Ni Sn Zn,1
Ba Pd Sb,0
Hf Ni Os,0
Hf Ni Re,0
Hf Ni Rh,0
Hf Ni Ru,0
Hf Ni W,0
Hf Os W,0
Hf Ru V,1
Hf Sb,0
K Sb Zn,0
Al Bi Ca Lu,0
Al Bi Ca Tm,0
Al Bi Ca La,0
Ru Sb Sr,0
Co Ge Th,0
Ge Ni Th,0
Cu Ge Th,0
Co Eu Ge,0
Ge La Pd Pt,0
Ge Np Pd,0
Al Be Cr,1
Ag Ca Cu,0
Ge Ho Li,1
Cu Ge La Mn,0
La Tl,1
La Y,0
Li Mg,0
Li Mg Pt Sn,0
Li Mg Sn,0
Li Mg Tl,0
Li Mg Zn,1
Li Pb Pd,0
Li Pd,0
Li Pt,1
Li Pt Sn,0
Li Sn Zn,0
Al Mn Nd,0
Al Dy Mn,1
Lu Mg,1
Lu Mn,1
Lu Mn Tb,1
Lu Pb,1
Lu Pd,1
Lu Pd Sn,0
Lu Pt,1
Lu Rh,1
Lu Tb,0
Lu Th,0
Mg Mn Ni Sb,0
Mg Ni Sb,0
Mg Ni Zn,1
Mg Pr,1
Mg Ru,0
Mg Sn Sr,0
Mg Tb,1
Mg Zr,0
Al Cr Yb,0
Al Dy Fe Tb,1
Mn Nd Ni,1
Mn Ni,1
Mn Ni Pd Sn,0
Mn Ni Pr,1
Mn Ni Rh Sn,0
Mn Ni Sn V,0
Mn Ni Sn Ti,0
Mn Ni Th,1
Mn Np,1
Mn Pb Rh,0
Mn Pd Sn,0
Mn Pr Tb,1
Mn Pu,1
Mn Rh,1
Mn Rh Sn,0
Mn Rh Tl,0
Mn Ru,0
Mn Sc Y,1
Mn Sn W,0
Mn Ta V,1
Mn Tb Y,1
Mn Tm,1
Mn V,0
Mn V Zr,1
Mn Zn,1
Al Dy Y,1
Al Eu Mg,0
Mo Nb Sn,0
Mo Nb U,0
Mo Nb Zr,1
Mo Ni V,0
Rh Zn,0
Bi Hf,0
Ag Ga Na,0
Al Ru Y,0
Al Nd Os,0
Al Gd Os,0
Bi K Sn,0
Ce Ge Ti,0
Ge Sm Ti,0
La Ni Pt,1
Gd Ge Sc Ti,0
Dy Fe Mo Nd Ti,0
Al Fe Ga U,0
Ag Co Sm,1
Rh Sc,1
Fe Ir Ni Os Ru,0
Fe Ir Rh Ru,0
Cu Fe Ir Ni Pt,0
Al Au La,0
Ce Co In Sb,0
Ca Ga Sn,0
Al La Rh,0
Hf In,0
Hf In Sb,0
Hf Ir Ni,0
Hf Ir Sn,0
Hf Mo Ni,0
Hf Mo Ru,0
Hf Nb Zr,0
Gd Ge Sb,0
Al Cs Sb,0
Al Rb Sb,0
Ga Hg K,0
Ga Hg Rb,0
Cs Ga Sn,0
Ga Rb Sn,0
K Sb V,0
Cr Ge Th,0
Al Be La,0
Al Re Y,0
Al Ho Re,0
Co Cu La,0
Hf Ni Ti V,1
Al Ta V,0
Al Ni Ta Y,0
Au Co Sn,0
Fe Sn Th,0
Ni Tb Y,0
Ni Tc,0
Ni Ti Zn,0
Ni Tm,1
Ni W,1
Np Os,1
Np Pd,1
Np Pu,0
Np Rh,1
Np Ru,1
Np Sn,1
Al La Nd,1
Al La Ni U,1
Al La Pt,1
Al La Zn,0
Al Li Pd,0
Al Li Pt,0
Al Li Rh,0
Al Mg Pt,0
Al Nb Pd,1
Al Nb Ru,1
Al Ni Pr U,1
Al Ni Th U,1
Al Ni U Y,1
Al Pd Pt U,1
Al Pd Sm,1
Os Pt,0
Os Re,0
Os Re Ti,0
Os Ru,0
Os Ru Th,1
Os Ta,0
Os Tc,0
Pa Rh,1
Pa Th,0
Pb Pd Tl,1
Pb Pu,1
Pb Rh Sr,0
Pb Sb,0
Pb Sn,0
Pb Th,1
Pb Tm,1
Pb U,1
Pd Pr,1
Pd Pr Tl,0
Pd Pt Sn,1
In K Na,0
Ag Al Zr,1
Mn Ni Tb,1
Co Nd Tb,1
Cs Ge Na Zn,0
Cs Ga Ge Na,0
Co Ge Pd U,0
Hg Sm,0
Hg Lu,1
Hg Pu,0
Cs K Sb,0
Bi Ni Pr,0
Bi In Sb,0
Bi Lu Pt,0
Ge Hf Pd,0
Cs Sb V,0
Rb Sb V,0
In Ru Sc,0
Ge Li Y,1
Gd Ge Li,1
Cu K Sb,0
Ge Na Pt,0
Li Sn Y,0
Mg Ni Sm,1
Al Rh Tm,0
Al Gd Re,0
Al Dy Re,0
Al Lu Re,0
Pd Rh Zr,1
Pd Ru Ta,1
Pd Re,0
Pd Rh Ru,0
Pd Rh Ta,1
Pd Sb Y,0
Pd Sc Sn,0
Pd Sm Sn,0
Pd Sm Tl,0
Pd Sn Sr,0
Pd Sn Tm,0
Pd Sn Tm Y,0
Pd Sn Y,0
Pd Sn Y Yb,0
Pd Sn Zr,0
Pd Ta,0
Pd Tb Tl,0
Pd Tc,0
Pd Tl Y,0
Pd Tl Yb,0
Pd V,1
Pd Yb,1
Pt Sn Zr,0
Pt Sr,1
Pt Re,0
Pt Re Ti,0
Pt Rh,0
Pt Sc,1
Pt Sm,1
Pt Sn Ti,0
Pt Sn U,0
Pt Ta,0
Pt Tc,0
Pt Tm,1
Pt Yb,1
Pt Zr,1
Pu Sc,0
Pu Sm,0
Pu Sn,1
Pu Sn U,1
Pu Th,0
Pu U,0
Pu Zn,1
Pu Zr,0
Er Ge In Ni,0
Dy Ge In Ni,0
Ge Ho In Ni,0
Ge In Ni Tm,0
Ga Mg Pd,0
In Ir Yb,0
Ni Sm Sn,1
Ho In Zn,0
Ho Ir Sn,0
Ho Li Sn,0
Ho Mn Pr,0
Ho Mn Sn,1
Ho Ni Sm,0
Al Ca Sb,0
Co Cr Mn Ni,0
Cr Cu Fe Mn Mo,0
Al Mo V,0
Al Mo Ta,0
Al Nb W,0
Al V W,0
Al Ta W,0
Al Nb Ta V,0
Al Mo Nb V,0
Al Nb V W,0
Al Mo Ta V,0
Al Ta V W,0
Al Mo V W,0
Al Mo Nb Ta,0
Al Nb Ta W,0
Al Mo Nb W,0
Co Nd Sm,1
Mn Ta,1
Re Rh,0
Re Ru,0
Re Sc,1
Re Ta,0
Re Tc,0
Re U,1
Re V,0
Re Zr,1
Rh Ru,0
Rh Ru U,1
Rh Sb Zr,0
Rh Sn Ti,0
Rh Sn V,0
Rh Sn Y,0
Rh Sn Yb,0
Rh Sr,1
Rh Ta,1
Rh Tb,1
Rh Tc,0
Rh Ti,1
Rh Tm,1
Rh V,1
Rh W,1
Rh Yb,1
Ru Sm,1
Ru Ta,0
Ru Tc,0
Ru U,1
Ru V,0
Ru W,0
Ru Zn,0
Ru Zr,1
Sc Th,0
Sc Y,0
Sm Th,0
Sn Ta,0
Sn Tc,0
Sn Th,1
Sn V,1
Sn Yb,1
Sn Zn,0
Sr Tl,0
Ta Tc,0
Ta Ti,0
Ta Zr,0
Tb Tl,1
Tb Zr,0
Tc Ti,0
Tc V,0
Tc W,0
Th Tl,1
Th U,0
Th Y,0
Ti Tl,0
Ti U Zr,0
Ti W,0
Ti W Zr,1
Ti Zn Zr,1
Ti Zr,0
Tl Tm,1
Tl U,1
Tl Zr,0
Al La Mg Mo Ni,1
Al La Mo Ni,1
Co La Mg Mn Ni,1
Au In K,0
Al Er Mn,1
Bi In Sr,0
Ho Os,1
Ho Re,1
Ho Ru,1
Ho Tc,1
In Ir Sn,0
Al Mo Ta W,0
K Sc Sn,0
K Pb Sc,0
Ge K Y,0
Ge Mg Sb,0
Mg Sb Sn,0
Co Ru Ta,1
Co Rh Ta,1
Co Pd Ta,1
Co Re Ta,1
Co Ir Ta,1
Ni Re Sn,0
Al Co Ti Y,0
Co Ga Ti Y,0
Co Ge Ti Y,0
Sb V Zr,0
Na Sb Tl,0
Ni Sb Sn,0
Eu Ni Sb Sn,0
Ni Sb Sn Yb,0
Ce Sb Zn,0
V W Zr,1
V Zn,1
V Zr,1
Y Yb,0
Y Zn Zr,1
Y Zr,0
Al Pd U,1
Ga Pd Ti,1
Au Ga Ti,1
Au Ga Zr,1
Au Pr Sb,0
Cd Pd Yb,0
Au Ga Hf,1
Al Hf Pt,1
Fe Mo Nd Zr,0
Al Nb U,0
Co Dy Mg,0
Cu Ga Ta,0
In La Zn,0
In Li Ru,0
In Li Tl,0
In Nd Zn,0
In Ni Sb U,1
In Ni Th,0
In Ni Yb,0
Bi Mn Pt,0
Bi Fe Pt,0
Bi Co Pt,0
Bi Ni Pt,0
Co Cr Ga Ge,0
Co Ga V Zr,0
Mn Rh Ti,0
Ge Mg Mn,0
Cr Ga Mn Ni,0
Cr Ge Mn Ni,0
Cr In Mn Ni,0
Ga Mg Sc,0
In Mg Sc,0
Al Mg Ti,0
Ga Mg Ti,0
In Mg Ti,0
Al Mg V,0
Ga Mg V,0
In Mg V,0
Al Cr Fe Y,0
Cr Fe Ga Y,0
Cr Fe In Y,0
Cr Fe Ge Y,0
Cr Fe Sn Y,0
Cr Fe Sb Y,0
Bi Cr Fe Mn,0
Al Co Mn Ni,0
Bi Fe Hf,0
In Mn Zr,0
Mn Tl Zr,0
Mn Pb Zr,0
Mn Sb Zr,0
Co Ge Mn Ru,0
Al Co Ru V,0
Co Ga Ru V,0
Co Mn Ni,0
Co Cr Fe Ni Pd,0
Ir Rb,1
Mg Na,0
K Mg,0
Mg Sc,0
Mg Ti,0
Mg V,0
Cr Mg,0
Mg Mn,0
