,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
2990,104740,104740,"['(Li0.184Mg0.816)-104740-Cagome_big.gph', '(Li0.184Mg0.816)-104740-Cagome_big_1.gph', '(Li0.184Mg0.816)-104740-Cagome_big_2.gph', '(Li0.184Mg0.816)-104740-Cagome_big_3.gph']",intermetallics_search_104740.cif
2991,104741,104741,"['(Li0.3Mg0.7)-104741-Cagome_big.gph', '(Li0.3Mg0.7)-104741-Cagome_big_1.gph', '(Li0.3Mg0.7)-104741-Cagome_big_2.gph', '(Li0.3Mg0.7)-104741-Cagome_big_3.gph']",intermetallics_search_104741.cif
2992,104742,104742,"['(Li0.14Mg0.86)-104742-Cagome_big.gph', '(Li0.14Mg0.86)-104742-Cagome_big_1.gph', '(Li0.14Mg0.86)-104742-Cagome_big_2.gph', '(Li0.14Mg0.86)-104742-Cagome_big_3.gph']",intermetallics_search_104742.cif
2993,104743,104743,"['(Li0.81Mg0.19)-104743-Cagome_big.gph', '(Li0.81Mg0.19)-104743-Cagome_big_1.gph']",intermetallics_search_104743.cif
2994,104744,104744,"['(Li0.9Mg0.1)-104744-Cagome_big.gph', '(Li0.9Mg0.1)-104744-Cagome_big_1.gph', '(Li0.9Mg0.1)-104744-Cagome_big_2.gph', '(Li0.9Mg0.1)-104744-Cagome_big_3.gph']",intermetallics_search_104744.cif
2995,104750,104750,['LaNi5-104750-Cagome_big.gph'],intermetallics_search_104750.cif
2996,104754,104754,"['LiMg2Zn3-104754-Cagome_big.gph', 'LiMg2Zn3-104754-Cagome_big_1.gph', 'LiMg2Zn3-104754-Cagome_big_2.gph', 'LiMg2Zn3-104754-Cagome_big_3.gph', 'LiMg2Zn3-104754-Cagome_big_4.gph', 'LiMg2Zn3-104754-Cagome_big_5.gph', 'LiMg2Zn3-104754-Cagome_big_6.gph', 'LiMg2Zn3-104754-Cagome_big_7.gph']",intermetallics_search_104754.cif
2997,104755,104755,"['(Li0.1Zn0.9)2Mg-104755-Cagome_big.gph', '(Li0.1Zn0.9)2Mg-104755-Cagome_big_1.gph', '(Li0.1Zn0.9)2Mg-104755-Cagome_big_2.gph', '(Li0.1Zn0.9)2Mg-104755-Cagome_big_3.gph', '(Li0.1Zn0.9)2Mg-104755-Cagome_big_4.gph', '(Li0.1Zn0.9)2Mg-104755-Cagome_big_5.gph']",intermetallics_search_104755.cif
2998,104756,104756,"['Li1.035Mg7Zn12.965-104756-Cagome_big.gph', 'Li1.035Mg7Zn12.965-104756-Cagome_big_1.gph', 'Li1.035Mg7Zn12.965-104756-Cagome_big_2.gph', 'Li1.035Mg7Zn12.965-104756-Cagome_big_3.gph', 'Li1.035Mg7Zn12.965-104756-Cagome_big_4.gph']",intermetallics_search_104756.cif
2999,104770,104770,"['LiPd-104770-Cagome_big.gph', 'LiPd-104770-Cagome_big_1.gph', 'LiPd-104770-Cagome_big_2.gph', 'LiPd-104770-Cagome_big_3.gph']",intermetallics_search_104770.cif
