,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
14394,682252,682252,"['Au0.9375Pt0.0625-682252-Cagome_big.gph', 'Au0.9375Pt0.0625-682252-Cagome_big_1.gph']",intermetallics_search_682252.cif
14395,682253,682253,"['Au0.375Pt0.625-682253-Cagome_big.gph', 'Au0.375Pt0.625-682253-Cagome_big_1.gph']",intermetallics_search_682253.cif
14396,682254,682254,"['Au0.125Pt0.875-682254-Cagome_big.gph', 'Au0.125Pt0.875-682254-Cagome_big_1.gph']",intermetallics_search_682254.cif
14397,682255,682255,"['Au0.8125Pt0.1875-682255-Cagome_big.gph', 'Au0.8125Pt0.1875-682255-Cagome_big_1.gph']",intermetallics_search_682255.cif
14398,682256,682256,"['Au0.6875Pt0.3125-682256-Cagome_big.gph', 'Au0.6875Pt0.3125-682256-Cagome_big_1.gph']",intermetallics_search_682256.cif
14399,682257,682257,"['Au0.5625Pt0.4375-682257-Cagome_big.gph', 'Au0.5625Pt0.4375-682257-Cagome_big_1.gph']",intermetallics_search_682257.cif
14400,682258,682258,"['Au0.4375Pt0.5625-682258-Cagome_big.gph', 'Au0.4375Pt0.5625-682258-Cagome_big_1.gph']",intermetallics_search_682258.cif
14401,682259,682259,"['Au0.3125Pt0.6875-682259-Cagome_big.gph', 'Au0.3125Pt0.6875-682259-Cagome_big_1.gph']",intermetallics_search_682259.cif
14402,682260,682260,"['Au0.1875Pt0.8125-682260-Cagome_big.gph', 'Au0.1875Pt0.8125-682260-Cagome_big_1.gph']",intermetallics_search_682260.cif
14403,682261,682261,"['Au0.0625Pt0.9375-682261-Cagome_big.gph', 'Au0.0625Pt0.9375-682261-Cagome_big_1.gph']",intermetallics_search_682261.cif
14404,682263,682263,"['Cu0.5Ni0.5-682263-Cagome_big.gph', 'Cu0.5Ni0.5-682263-Cagome_big_1.gph']",intermetallics_search_682263.cif
14405,682264,682264,"['Cu0.75Ni0.25-682264-Cagome_big.gph', 'Cu0.75Ni0.25-682264-Cagome_big_1.gph']",intermetallics_search_682264.cif
14406,682266,682266,"['Cu0.25Ni0.75-682266-Cagome_big.gph', 'Cu0.25Ni0.75-682266-Cagome_big_1.gph']",intermetallics_search_682266.cif
14407,682267,682267,"['Cu0.875Ni0.125-682267-Cagome_big.gph', 'Cu0.875Ni0.125-682267-Cagome_big_1.gph']",intermetallics_search_682267.cif
14408,682268,682268,"['Cu0.625Ni0.375-682268-Cagome_big.gph', 'Cu0.625Ni0.375-682268-Cagome_big_1.gph']",intermetallics_search_682268.cif
14409,682269,682269,"['Cu0.9375Ni0.0625-682269-Cagome_big.gph', 'Cu0.9375Ni0.0625-682269-Cagome_big_1.gph']",intermetallics_search_682269.cif
14410,682270,682270,"['Cu0.375Ni0.625-682270-Cagome_big.gph', 'Cu0.375Ni0.625-682270-Cagome_big_1.gph']",intermetallics_search_682270.cif
14411,682271,682271,"['Cu0.125Ni0.875-682271-Cagome_big.gph', 'Cu0.125Ni0.875-682271-Cagome_big_1.gph']",intermetallics_search_682271.cif
14412,682272,682272,"['Cu0.8125Ni0.1875-682272-Cagome_big.gph', 'Cu0.8125Ni0.1875-682272-Cagome_big_1.gph']",intermetallics_search_682272.cif
14413,682273,682273,"['Cu0.6875Ni0.3125-682273-Cagome_big.gph', 'Cu0.6875Ni0.3125-682273-Cagome_big_1.gph']",intermetallics_search_682273.cif
14414,682274,682274,"['Cu0.5625Ni0.4375-682274-Cagome_big.gph', 'Cu0.5625Ni0.4375-682274-Cagome_big_1.gph']",intermetallics_search_682274.cif
14415,682275,682275,"['Cu0.4375Ni0.5625-682275-Cagome_big.gph', 'Cu0.4375Ni0.5625-682275-Cagome_big_1.gph']",intermetallics_search_682275.cif
14416,682276,682276,"['Cu0.3125Ni0.6875-682276-Cagome_big.gph', 'Cu0.3125Ni0.6875-682276-Cagome_big_1.gph']",intermetallics_search_682276.cif
14417,682277,682277,"['Cu0.1875Ni0.8125-682277-Cagome_big.gph', 'Cu0.1875Ni0.8125-682277-Cagome_big_1.gph']",intermetallics_search_682277.cif
14418,682278,682278,"['Cu0.0625Ni0.9375-682278-Cagome_big.gph', 'Cu0.0625Ni0.9375-682278-Cagome_big_1.gph']",intermetallics_search_682278.cif
14419,682279,682279,"['Cu0.5Pt0.5-682279-Cagome_big.gph', 'Cu0.5Pt0.5-682279-Cagome_big_1.gph']",intermetallics_search_682279.cif
14420,682280,682280,"['Cu0.75Pt0.25-682280-Cagome_big.gph', 'Cu0.75Pt0.25-682280-Cagome_big_1.gph']",intermetallics_search_682280.cif
14421,682281,682281,"['Cu0.25Pt0.75-682281-Cagome_big.gph', 'Cu0.25Pt0.75-682281-Cagome_big_1.gph']",intermetallics_search_682281.cif
14422,682282,682282,"['Cu0.875Pt0.125-682282-Cagome_big.gph', 'Cu0.875Pt0.125-682282-Cagome_big_1.gph']",intermetallics_search_682282.cif
14423,682283,682283,"['Cu0.625Pt0.375-682283-Cagome_big.gph', 'Cu0.625Pt0.375-682283-Cagome_big_1.gph']",intermetallics_search_682283.cif
14424,682284,682284,"['Cu0.9375Pt0.0625-682284-Cagome_big.gph', 'Cu0.9375Pt0.0625-682284-Cagome_big_1.gph']",intermetallics_search_682284.cif
14425,682285,682285,"['Cu0.375Pt0.625-682285-Cagome_big.gph', 'Cu0.375Pt0.625-682285-Cagome_big_1.gph']",intermetallics_search_682285.cif
14426,682286,682286,"['Cu0.125Pt0.875-682286-Cagome_big.gph', 'Cu0.125Pt0.875-682286-Cagome_big_1.gph']",intermetallics_search_682286.cif
14427,682287,682287,"['Cu0.8125Pt0.1875-682287-Cagome_big.gph', 'Cu0.8125Pt0.1875-682287-Cagome_big_1.gph']",intermetallics_search_682287.cif
14428,682288,682288,"['Cu0.6875Pt0.3125-682288-Cagome_big.gph', 'Cu0.6875Pt0.3125-682288-Cagome_big_1.gph']",intermetallics_search_682288.cif
14429,682289,682289,"['Cu0.5625Pt0.4375-682289-Cagome_big.gph', 'Cu0.5625Pt0.4375-682289-Cagome_big_1.gph']",intermetallics_search_682289.cif
14430,682290,682290,"['Cu0.4375Pt0.5625-682290-Cagome_big.gph', 'Cu0.4375Pt0.5625-682290-Cagome_big_1.gph']",intermetallics_search_682290.cif
14431,682291,682291,"['Cu0.3125Pt0.6875-682291-Cagome_big.gph', 'Cu0.3125Pt0.6875-682291-Cagome_big_1.gph']",intermetallics_search_682291.cif
14432,682292,682292,"['Cu0.1875Pt0.8125-682292-Cagome_big.gph', 'Cu0.1875Pt0.8125-682292-Cagome_big_1.gph']",intermetallics_search_682292.cif
14433,682293,682293,"['Cu0.0625Pt0.9375-682293-Cagome_big.gph', 'Cu0.0625Pt0.9375-682293-Cagome_big_1.gph']",intermetallics_search_682293.cif
14434,682294,682294,"['Ni0.5Pd0.5-682294-Cagome_big.gph', 'Ni0.5Pd0.5-682294-Cagome_big_1.gph']",intermetallics_search_682294.cif
14435,682295,682295,"['Ni0.75Pd0.25-682295-Cagome_big.gph', 'Ni0.75Pd0.25-682295-Cagome_big_1.gph']",intermetallics_search_682295.cif
14436,682296,682296,"['Ni0.25Pd0.75-682296-Cagome_big.gph', 'Ni0.25Pd0.75-682296-Cagome_big_1.gph']",intermetallics_search_682296.cif
14437,682297,682297,"['Ni0.875Pd0.125-682297-Cagome_big.gph', 'Ni0.875Pd0.125-682297-Cagome_big_1.gph']",intermetallics_search_682297.cif
14438,682298,682298,"['Ni0.625Pd0.375-682298-Cagome_big.gph', 'Ni0.625Pd0.375-682298-Cagome_big_1.gph']",intermetallics_search_682298.cif
14439,682299,682299,"['Ni0.9375Pd0.0625-682299-Cagome_big.gph', 'Ni0.9375Pd0.0625-682299-Cagome_big_1.gph']",intermetallics_search_682299.cif
14440,682300,682300,"['Ni0.375Pd0.625-682300-Cagome_big.gph', 'Ni0.375Pd0.625-682300-Cagome_big_1.gph']",intermetallics_search_682300.cif
14441,682301,682301,"['Ni0.125Pd0.875-682301-Cagome_big.gph', 'Ni0.125Pd0.875-682301-Cagome_big_1.gph']",intermetallics_search_682301.cif
14442,682302,682302,"['Ni0.8125Pd0.1875-682302-Cagome_big.gph', 'Ni0.8125Pd0.1875-682302-Cagome_big_1.gph']",intermetallics_search_682302.cif
14443,682303,682303,"['Ni0.6875Pd0.3125-682303-Cagome_big.gph', 'Ni0.6875Pd0.3125-682303-Cagome_big_1.gph']",intermetallics_search_682303.cif
14444,682304,682304,"['Ni0.5625Pd0.4375-682304-Cagome_big.gph', 'Ni0.5625Pd0.4375-682304-Cagome_big_1.gph']",intermetallics_search_682304.cif
14445,682305,682305,"['Ni0.4375Pd0.5625-682305-Cagome_big.gph', 'Ni0.4375Pd0.5625-682305-Cagome_big_1.gph']",intermetallics_search_682305.cif
14446,682306,682306,"['Ni0.3125Pd0.6875-682306-Cagome_big.gph', 'Ni0.3125Pd0.6875-682306-Cagome_big_1.gph']",intermetallics_search_682306.cif
14447,682307,682307,"['Ni0.1875Pd0.8125-682307-Cagome_big.gph', 'Ni0.1875Pd0.8125-682307-Cagome_big_1.gph']",intermetallics_search_682307.cif
14448,682308,682308,"['Ni0.0625Pd0.9375-682308-Cagome_big.gph', 'Ni0.0625Pd0.9375-682308-Cagome_big_1.gph']",intermetallics_search_682308.cif
14449,682309,682309,"['Ni0.5Pt0.5-682309-Cagome_big.gph', 'Ni0.5Pt0.5-682309-Cagome_big_1.gph']",intermetallics_search_682309.cif
14450,682310,682310,"['Ni0.75Pt0.25-682310-Cagome_big.gph', 'Ni0.75Pt0.25-682310-Cagome_big_1.gph']",intermetallics_search_682310.cif
14451,682311,682311,"['Ni0.25Pt0.75-682311-Cagome_big.gph', 'Ni0.25Pt0.75-682311-Cagome_big_1.gph']",intermetallics_search_682311.cif
14452,682312,682312,"['Ni0.875Pt0.125-682312-Cagome_big.gph', 'Ni0.875Pt0.125-682312-Cagome_big_1.gph']",intermetallics_search_682312.cif
14453,682313,682313,"['Ni0.625Pt0.375-682313-Cagome_big.gph', 'Ni0.625Pt0.375-682313-Cagome_big_1.gph']",intermetallics_search_682313.cif
14454,682314,682314,"['Ni0.9375Pt0.0625-682314-Cagome_big.gph', 'Ni0.9375Pt0.0625-682314-Cagome_big_1.gph']",intermetallics_search_682314.cif
14455,682315,682315,"['Ni0.375Pt0.625-682315-Cagome_big.gph', 'Ni0.375Pt0.625-682315-Cagome_big_1.gph']",intermetallics_search_682315.cif
14456,682316,682316,"['Ni0.125Pt0.875-682316-Cagome_big.gph', 'Ni0.125Pt0.875-682316-Cagome_big_1.gph']",intermetallics_search_682316.cif
14457,682317,682317,"['Ni0.8125Pt0.1875-682317-Cagome_big.gph', 'Ni0.8125Pt0.1875-682317-Cagome_big_1.gph']",intermetallics_search_682317.cif
14458,682318,682318,"['Ni0.6875Pt0.3125-682318-Cagome_big.gph', 'Ni0.6875Pt0.3125-682318-Cagome_big_1.gph']",intermetallics_search_682318.cif
14459,682319,682319,"['Ni0.5625Pt0.4375-682319-Cagome_big.gph', 'Ni0.5625Pt0.4375-682319-Cagome_big_1.gph']",intermetallics_search_682319.cif
14460,682320,682320,"['Ni0.4375Pt0.5625-682320-Cagome_big.gph', 'Ni0.4375Pt0.5625-682320-Cagome_big_1.gph']",intermetallics_search_682320.cif
14461,682321,682321,"['Ni0.3125Pt0.6875-682321-Cagome_big.gph', 'Ni0.3125Pt0.6875-682321-Cagome_big_1.gph']",intermetallics_search_682321.cif
14462,682322,682322,"['Ni0.1875Pt0.8125-682322-Cagome_big.gph', 'Ni0.1875Pt0.8125-682322-Cagome_big_1.gph']",intermetallics_search_682322.cif
14463,682323,682323,"['Ni0.0625Pt0.9375-682323-Cagome_big.gph', 'Ni0.0625Pt0.9375-682323-Cagome_big_1.gph']",intermetallics_search_682323.cif
14464,682324,682324,"['Pt0.5Pd0.5-682324-Cagome_big.gph', 'Pt0.5Pd0.5-682324-Cagome_big_1.gph']",intermetallics_search_682324.cif
14465,682325,682325,"['Pt0.25Pd0.75-682325-Cagome_big.gph', 'Pt0.25Pd0.75-682325-Cagome_big_1.gph']",intermetallics_search_682325.cif
14466,682326,682326,"['Pt0.75Pd0.25-682326-Cagome_big.gph', 'Pt0.75Pd0.25-682326-Cagome_big_1.gph']",intermetallics_search_682326.cif
14467,682327,682327,"['Pt0.125Pd0.875-682327-Cagome_big.gph', 'Pt0.125Pd0.875-682327-Cagome_big_1.gph']",intermetallics_search_682327.cif
14468,682328,682328,"['Pt0.375Pd0.625-682328-Cagome_big.gph', 'Pt0.375Pd0.625-682328-Cagome_big_1.gph']",intermetallics_search_682328.cif
14469,682329,682329,"['Pt0.0625Pd0.9375-682329-Cagome_big.gph', 'Pt0.0625Pd0.9375-682329-Cagome_big_1.gph']",intermetallics_search_682329.cif
14470,682330,682330,"['Pt0.625Pd0.375-682330-Cagome_big.gph', 'Pt0.625Pd0.375-682330-Cagome_big_1.gph']",intermetallics_search_682330.cif
14471,682331,682331,"['Pt0.875Pd0.125-682331-Cagome_big.gph', 'Pt0.875Pd0.125-682331-Cagome_big_1.gph']",intermetallics_search_682331.cif
14472,682332,682332,"['Pt0.1875Pd0.8125-682332-Cagome_big.gph', 'Pt0.1875Pd0.8125-682332-Cagome_big_1.gph']",intermetallics_search_682332.cif
14473,682333,682333,"['Pt0.3125Pd0.6875-682333-Cagome_big.gph', 'Pt0.3125Pd0.6875-682333-Cagome_big_1.gph']",intermetallics_search_682333.cif
14474,682334,682334,"['Pt0.4375Pd0.5625-682334-Cagome_big.gph', 'Pt0.4375Pd0.5625-682334-Cagome_big_1.gph']",intermetallics_search_682334.cif
14475,682335,682335,"['Pt0.5625Pd0.4375-682335-Cagome_big.gph', 'Pt0.5625Pd0.4375-682335-Cagome_big_1.gph']",intermetallics_search_682335.cif
14476,682336,682336,"['Pt0.6875Pd0.3125-682336-Cagome_big.gph', 'Pt0.6875Pd0.3125-682336-Cagome_big_1.gph']",intermetallics_search_682336.cif
14477,682337,682337,"['Pt0.8125Pd0.1875-682337-Cagome_big.gph', 'Pt0.8125Pd0.1875-682337-Cagome_big_1.gph']",intermetallics_search_682337.cif
14478,682338,682338,"['Pt0.9375Pd0.0625-682338-Cagome_big.gph', 'Pt0.9375Pd0.0625-682338-Cagome_big_1.gph']",intermetallics_search_682338.cif
14479,682367,682367,['Co3V-682367-Cagome_big.gph'],intermetallics_search_682367.cif
14480,682368,682368,['Co3V0.96875Sc0.03125-682368-Cagome_big.gph'],intermetallics_search_682368.cif
14481,682369,682369,['Co3V0.96875Ti0.03125-682369-Cagome_big.gph'],intermetallics_search_682369.cif
14482,682370,682370,['Co3V0.96875Zr0.03125-682370-Cagome_big.gph'],intermetallics_search_682370.cif
14483,682371,682371,['Co3V0.96875Nb0.03125-682371-Cagome_big.gph'],intermetallics_search_682371.cif
14484,682372,682372,['Co3V0.96875Hf0.03125-682372-Cagome_big.gph'],intermetallics_search_682372.cif
14485,682373,682373,['Co3V0.96875Ta0.03125-682373-Cagome_big.gph'],intermetallics_search_682373.cif
14486,682374,682374,"['(Co0.96875Ni0.03125)3V-682374-Cagome_big.gph', '(Co0.96875Ni0.03125)3V-682374-Cagome_big_1.gph']",intermetallics_search_682374.cif
14487,682375,682375,"['(Co0.96875Rh0.03125)3V-682375-Cagome_big.gph', '(Co0.96875Rh0.03125)3V-682375-Cagome_big_1.gph']",intermetallics_search_682375.cif
14488,682376,682376,"['(Co0.96875Ir0.03125)3V-682376-Cagome_big.gph', '(Co0.96875Ir0.03125)3V-682376-Cagome_big_1.gph']",intermetallics_search_682376.cif
14489,682377,682377,"['(Co0.96875Pt0.03125)3V-682377-Cagome_big.gph', '(Co0.96875Pt0.03125)3V-682377-Cagome_big_1.gph']",intermetallics_search_682377.cif
14490,682626,682626,['YSb-682626-Cagome_big.gph'],intermetallics_search_682626.cif
14491,682694,682694,['Ni3Ga-682694-Cagome_big.gph'],intermetallics_search_682694.cif
14492,682708,682708,['Cu3Au-682708-Cagome_big.gph'],intermetallics_search_682708.cif
14493,682710,682710,['CuAu3-682710-Cagome_big.gph'],intermetallics_search_682710.cif
14494,682741,682741,['TiCr2-682741-Cagome_big.gph'],intermetallics_search_682741.cif
14495,682743,682743,['Rh2YAl-682743-Cagome_big.gph'],intermetallics_search_682743.cif
14496,682750,682750,['Au3Cu-682750-Cagome_big.gph'],intermetallics_search_682750.cif
14497,682752,682752,['AuCu3-682752-Cagome_big.gph'],intermetallics_search_682752.cif
14498,682770,682770,['HfFe2-682770-Cagome_big.gph'],intermetallics_search_682770.cif
14499,682771,682771,['LuFe2-682771-Cagome_big.gph'],intermetallics_search_682771.cif
14500,682772,682772,['ZrFe2-682772-Cagome_big.gph'],intermetallics_search_682772.cif
14501,682774,682774,"['NdMgCo4-682774-Cagome_big.gph', 'NdMgCo4-682774-Cagome_big_1.gph']",intermetallics_search_682774.cif
14502,682775,682775,"['NdMgCu4-682775-Cagome_big.gph', 'NdMgCu4-682775-Cagome_big_1.gph']",intermetallics_search_682775.cif
14503,682776,682776,"['NdMgNi4-682776-Cagome_big.gph', 'NdMgNi4-682776-Cagome_big_1.gph']",intermetallics_search_682776.cif
14504,682800,682800,['Al3Sc-682800-Cagome_big.gph'],intermetallics_search_682800.cif
14505,682801,682801,['Al3Sc0.5Zr0.5-682801-Cagome_big.gph'],intermetallics_search_682801.cif
14506,682802,682802,['Al3Sc0.25Zr0.75-682802-Cagome_big.gph'],intermetallics_search_682802.cif
14507,682803,682803,['Al3Sc0.75Zr0.25-682803-Cagome_big.gph'],intermetallics_search_682803.cif
14508,682855,682855,['Co3Al-682855-Cagome_big.gph'],intermetallics_search_682855.cif
14509,682856,682856,"['(Co0.9583Al0.0417)3Al-682856-Cagome_big.gph', '(Co0.9583Al0.0417)3Al-682856-Cagome_big_1.gph', '(Co0.9583Al0.0417)3Al-682856-Cagome_big_2.gph', '(Co0.9583Al0.0417)3Al-682856-Cagome_big_3.gph']",intermetallics_search_682856.cif
14510,682857,682857,"['Co3Al0.875Co0.125-682857-Cagome_big.gph', 'Co3Al0.875Co0.125-682857-Cagome_big_1.gph', 'Co3Al0.875Co0.125-682857-Cagome_big_2.gph']",intermetallics_search_682857.cif
14511,682858,682858,"['(Co0.9583W0.0417)3Al-682858-Cagome_big.gph', '(Co0.9583W0.0417)3Al-682858-Cagome_big_1.gph']",intermetallics_search_682858.cif
14512,682859,682859,['Co3Al0.875W0.125-682859-Cagome_big.gph'],intermetallics_search_682859.cif
14513,682860,682860,"['(Co0.9583Ta0.0417)3Al-682860-Cagome_big.gph', '(Co0.9583Ta0.0417)3Al-682860-Cagome_big_1.gph']",intermetallics_search_682860.cif
14514,682861,682861,['Co3Al0.875Ta0.125-682861-Cagome_big.gph'],intermetallics_search_682861.cif
14515,682862,682862,"['(Co0.9583V0.0417)3Al-682862-Cagome_big.gph', '(Co0.9583V0.0417)3Al-682862-Cagome_big_1.gph']",intermetallics_search_682862.cif
14516,682863,682863,['Co3Al0.875V0.125-682863-Cagome_big.gph'],intermetallics_search_682863.cif
14517,682864,682864,"['(Co0.9583Ti0.0417)3Al-682864-Cagome_big.gph', '(Co0.9583Ti0.0417)3Al-682864-Cagome_big_1.gph']",intermetallics_search_682864.cif
14518,682865,682865,['Co3Al0.875Ti0.125-682865-Cagome_big.gph'],intermetallics_search_682865.cif
14519,682866,682866,['Co3Al0.875Mo0.125-682866-Cagome_big.gph'],intermetallics_search_682866.cif
14520,682867,682867,"['(Co0.9583Nb0.0417)3Al-682867-Cagome_big.gph', '(Co0.9583Nb0.0417)3Al-682867-Cagome_big_1.gph']",intermetallics_search_682867.cif
14521,682868,682868,['Co3Al0.875Nb0.125-682868-Cagome_big.gph'],intermetallics_search_682868.cif
14522,682869,682869,"['(Co0.9583Pt0.0417)3Al-682869-Cagome_big.gph', '(Co0.9583Pt0.0417)3Al-682869-Cagome_big_1.gph']",intermetallics_search_682869.cif
14523,682870,682870,['Co3Al0.875Pt0.125-682870-Cagome_big.gph'],intermetallics_search_682870.cif
14524,682871,682871,"['(Co0.9583Cr0.0417)3Al-682871-Cagome_big.gph', '(Co0.9583Cr0.0417)3Al-682871-Cagome_big_1.gph']",intermetallics_search_682871.cif
14525,682872,682872,['Co3Al0.875Cr0.125-682872-Cagome_big.gph'],intermetallics_search_682872.cif
14526,682873,682873,"['(Co0.9583Y0.0417)3Al-682873-Cagome_big.gph', '(Co0.9583Y0.0417)3Al-682873-Cagome_big_1.gph']",intermetallics_search_682873.cif
14527,682874,682874,['Co3Al0.875Y0.125-682874-Cagome_big.gph'],intermetallics_search_682874.cif
14528,682875,682875,"['(Co0.9583Ru0.0417)3Al-682875-Cagome_big.gph', '(Co0.9583Ru0.0417)3Al-682875-Cagome_big_1.gph']",intermetallics_search_682875.cif
14529,682876,682876,['Co3Al0.875Ru0.125-682876-Cagome_big.gph'],intermetallics_search_682876.cif
14530,682877,682877,"['(Co0.9583Re0.0417)3Al-682877-Cagome_big.gph', '(Co0.9583Re0.0417)3Al-682877-Cagome_big_1.gph']",intermetallics_search_682877.cif
14531,682878,682878,['Co3Al0.875Re0.125-682878-Cagome_big.gph'],intermetallics_search_682878.cif
14532,682879,682879,"['(Co0.9583Ir0.0417)3Al-682879-Cagome_big.gph', '(Co0.9583Ir0.0417)3Al-682879-Cagome_big_1.gph']",intermetallics_search_682879.cif
14533,682880,682880,['Co3Al0.875Ir0.125-682880-Cagome_big.gph'],intermetallics_search_682880.cif
14534,682881,682881,"['(Co0.9583Mo0.0417)3Al-682881-Cagome_big.gph', '(Co0.9583Mo0.0417)3Al-682881-Cagome_big_1.gph']",intermetallics_search_682881.cif
14535,682882,682882,"['(Co0.9583Hf0.0417)3Al-682882-Cagome_big.gph', '(Co0.9583Hf0.0417)3Al-682882-Cagome_big_1.gph']",intermetallics_search_682882.cif
14536,682883,682883,['Co3Al0.875Hf0.125-682883-Cagome_big.gph'],intermetallics_search_682883.cif
14537,682884,682884,"['(Co0.9583Ni0.0417)3Al-682884-Cagome_big.gph', '(Co0.9583Ni0.0417)3Al-682884-Cagome_big_1.gph']",intermetallics_search_682884.cif
14538,682885,682885,['Co3Al0.875Ni0.125-682885-Cagome_big.gph'],intermetallics_search_682885.cif
14539,682886,682886,"['(Co0.9583Zr0.0417)3Al-682886-Cagome_big.gph', '(Co0.9583Zr0.0417)3Al-682886-Cagome_big_1.gph']",intermetallics_search_682886.cif
14540,682887,682887,['Co3Al0.875Zr0.125-682887-Cagome_big.gph'],intermetallics_search_682887.cif
14541,682888,682888,"['(Co0.9583Rh0.0417)3Al-682888-Cagome_big.gph', '(Co0.9583Rh0.0417)3Al-682888-Cagome_big_1.gph']",intermetallics_search_682888.cif
14542,682889,682889,['Co3Al0.875Rh0.125-682889-Cagome_big.gph'],intermetallics_search_682889.cif
14543,682890,682890,"['(Co0.9583Fe0.0417)3Al-682890-Cagome_big.gph', '(Co0.9583Fe0.0417)3Al-682890-Cagome_big_1.gph']",intermetallics_search_682890.cif
14544,682891,682891,['Co3Al0.875Fe0.125-682891-Cagome_big.gph'],intermetallics_search_682891.cif
14545,682892,682892,"['(Co0.9583Mn0.0417)3Al-682892-Cagome_big.gph', '(Co0.9583Mn0.0417)3Al-682892-Cagome_big_1.gph']",intermetallics_search_682892.cif
14546,682893,682893,['Co3Al0.875Mn0.125-682893-Cagome_big.gph'],intermetallics_search_682893.cif
14547,682894,682894,"['(Co0.9583Tc0.0417)3Al-682894-Cagome_big.gph', '(Co0.9583Tc0.0417)3Al-682894-Cagome_big_1.gph']",intermetallics_search_682894.cif
14548,682895,682895,['Co3Al0.875Tc0.125-682895-Cagome_big.gph'],intermetallics_search_682895.cif
14549,682896,682896,"['(Co0.9583Os0.0417)3Al-682896-Cagome_big.gph', '(Co0.9583Os0.0417)3Al-682896-Cagome_big_1.gph']",intermetallics_search_682896.cif
14550,682897,682897,['Co3Al0.875Os0.125-682897-Cagome_big.gph'],intermetallics_search_682897.cif
14551,682898,682898,"['(Co0.9583Pd0.0417)3Al-682898-Cagome_big.gph', '(Co0.9583Pd0.0417)3Al-682898-Cagome_big_1.gph']",intermetallics_search_682898.cif
14552,682899,682899,['Co3Al0.875Pd0.125-682899-Cagome_big.gph'],intermetallics_search_682899.cif
14553,682900,682900,"['(Co0.9583Sc0.0417)3Al-682900-Cagome_big.gph', '(Co0.9583Sc0.0417)3Al-682900-Cagome_big_1.gph']",intermetallics_search_682900.cif
14554,682901,682901,['Co3Al0.875Sc0.125-682901-Cagome_big.gph'],intermetallics_search_682901.cif
14555,682902,682902,"['Fe0.91Cr0.09-682902-Cagome_big.gph', 'Fe0.91Cr0.09-682902-Cagome_big_1.gph', 'Fe0.91Cr0.09-682902-Cagome_big_2.gph', 'Fe0.91Cr0.09-682902-Cagome_big_3.gph']",intermetallics_search_682902.cif
14556,682903,682903,"['Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_1.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_2.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_3.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_4.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_5.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_6.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_7.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_8.gph', 'Fe0.8893Cr0.0963W0.0045V0.0053Mn0.0046-682903-Cagome_big_9.gph']",intermetallics_search_682903.cif
14557,682904,682904,"['Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_1.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_2.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_3.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_4.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_5.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_6.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_7.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_8.gph', 'Fe0.9077Cr0.0802W0.0060V0.0040Mn0.0021-682904-Cagome_big_9.gph']",intermetallics_search_682904.cif
